33.77506963899742,-61.00399216265884,-8.540023278049032;30.346411250021582,-2.00836770392423,-14.223950996186252;-8.291476578119529,7.921249604977297,-18.974437441719367;10.084166332959727,-6.9481694201277175,7.3218731091381;4.020608525119274,4.855895378594662,-13.296182450962569;-2.9320703216754156,0.8223892064728227,-14.403501133995569;-1.830342127709494,2.9832604547201385,-2.6191203091487907;-0.49948694406580935,9.76389245541142,-16.813091540802137;-1.3063176270032202,0.500722395569592,-8.764882183144913;-5.342582717505797,0.0739866976636741,-3.5150629960734285;-5.011558416805376,18.078307383160617,-15.20195249644369;-3.9810613571290276,0.3499742303823049,-6.425698984707083;-1.151438856008612,-3.314923070512325,-8.113749797646324;-23.30960730514743,17.705235632218105,-5.84750147161095;10.193385353053213,13.97902743137093,-4.2150912002931005;-4.841577602598695,4.906382380345023,-9.098418224612686;-0.10686662394165947,-5.629507774875845,-4.163098896601824;
33.72672670642097,-60.99528376481199,-8.406124890603458;30.433809284122102,-1.3762900101512985,-13.90419837284808;-8.202521023409174,7.889165926961001,-20.351533560963915;10.15275835869926,-6.9387939141512565,8.15017594559914;4.034819797201095,5.302277281698533,-13.003160799390518;-2.9346027040821787,0.8230137767087125,-13.10661161564037;-1.8378214240666615,2.9835787125921,-2.264967826912736;-0.48889886144058053,9.806634052610608,-18.45905472057916;-1.303891261407253,0.5003757877003195,-7.592428225711586;-5.279846182747909,0.07051242455002205,-2.869707767194658;-5.00404489920107,18.065169828273458,-16.19405949759377;-3.9858611669911594,0.3506128585310432,-6.643932743888367;-1.1301154541805873,-3.3179110327620105,-7.832299137770711;-23.30960724189193,17.705235583813565,-5.84750145579334;10.167664133634345,13.175741073916285,-5.356032446248672;-4.8193379485474415,4.903018435577953,-8.599860529404957;-0.09564430781066247,-5.630282323492078,-3.916624004424392;
34.47754223408024,-61.1461274035808,-10.498172289162149;30.019292981314077,-4.187502162414309,-15.319555843039975;-8.237765858379209,7.902310501364129,-19.803402921020684;10.189195547736565,-6.93347002827876,8.591288662355613;4.1587478004920175,5.51581053165994,-16.69305291108661;-2.9323461048104873,0.822463944826924,-14.266051996951216;-1.8248049233633021,2.9829884532565742,-2.882898348129581;-0.4447259136575946,10.551927551900505,-20.399413346103763;-1.3056340734606515,0.5006258942385787,-8.440758383792025;-5.313700470722386,0.0724321558079164,-3.2174948776239454;-4.963844194729801,18.463421986952387,-17.56713366852878;-4.002890887073974,0.35290904183737154,-7.420787533465706;-1.158657886001417,-3.313895678715276,-8.210017882584888;-23.309607182807433,17.705235538756302,-5.847501440996588;10.112549076484429,14.060488213141587,-5.855950514738673;-4.827238734051231,4.904310960530662,-8.77440827337508;-0.0845685135551636,-5.6310773537981476,-3.6738206981824852;
34.461797419530825,-61.14257005347362,-10.453775721406043;30.147967042768474,-3.3634973068300074,-14.90660823359551;-8.34354786906466,7.938973545724644,-18.172226770303002;10.089527778904435,-6.947520819094096,7.386616172964193;4.0951892325429915,4.6914821326131735,-16.012516830775823;-2.9277969086402758,0.8212156915575913,-16.579838612634994;-1.8000285991916896,2.981487910320719,-4.057350387322542;-0.4667482070468379,10.100593386649424,-20.136159538669396;-1.3084284342627985,0.5010732818246739,-9.809400978015091;-5.318892805991819,0.07260908987484138,-3.270796765803036;-4.97327503202657,18.408358256341657,-16.919818074235955;-4.04696515646857,0.3592576915284593,-9.414399423559729;-1.2809134217016742,-3.2944096435778736,-9.83216706029074;-23.309607124778946,17.705235494572662,-5.847501426454606;10.125833635233596,14.803406334167201,-4.978580987837587;-4.8823821348150656,4.913399587515083,-10.017329173743988;-0.10679612148157525,-5.629485978227573,-4.161866997369792;
35.58576182582675,-61.435788491433094,-13.653325809291463;30.122871760904193,-3.5285974256555477,-14.989477278467323;-8.537205557096625,7.9977115253323605,-15.22172396264793;9.992595475591491,-6.959264474097241,6.218872220900751;4.131408538699459,5.40319405934398,-15.985462768422758;-2.9231138621886896,0.8197001491726077,-19.03208811151558;-1.7965932236320685,2.9812396193394073,-4.219691253630511;-0.45757900341533664,10.33743029395519,-19.824004572666546;-1.3169781949929058,0.5028723080467905,-13.99735220128892;-5.427812360090593,0.07994404345320527,-4.392246839369211;-5.022608498520047,17.8491427712285,-15.820624718876672;-4.118706471220765,0.37332905732782595,-12.694461761365236;-1.577106634410129,-3.2324239514762336,-13.798762727912042;-23.309607067253964,17.705235450807173,-5.8475014120338615;10.067370769512491,13.139882604254986,-7.495512855901991;-5.049873445856362,4.9489092130239625,-13.817108930573191;-0.20160220458897038,-5.620901660972261,-6.24047617796797;
37.53738910945947,-62.164842427228706,-19.4661012141973;30.31190729686286,-2.240908836448356,-14.341135354668069;-8.695578404669686,8.037710309085229,-12.838221387073373;9.60236998490535,-6.986116968486319,1.5430124803309182;4.0551386335348765,3.004544484362879,-17.65736177096693;-2.913972799436458,0.8161219419871595,-23.878913265469823;-1.7794047889258402,2.979848064904691,-5.0342872440582305;-0.41369686877337597,10.953290837661909,-22.855290587498594;-1.3358420415194772,0.5093288630230619,-23.596127449734045;-5.6010358531277085,0.09629778102211295,-6.179650585616958;-4.9658421116273335,17.79131590721647,-23.09886711655119;-4.393556015280786,0.4698861663860062,-25.802324569797825;-2.0978908747510414,-3.069078152634738,-20.959007264808566;-23.309607010083802,17.7052354073316,-5.847501397699241;9.692220784187308,11.225760792996041,-16.825597424743027;-5.499427407680105,5.105448528646416,-24.396193308758647;-0.5273010056427383,-5.564224223082071,-13.469227414636599;
44.377902618263526,-67.82141202764304,-44.60106493383222;31.37715005408807,8.315079750675082,-8.917293180890008;-7.834019127407373,7.728849982996275,-26.20362912306718;9.066282117580405,-6.970431425743748,-4.862236688697187;4.255968697726764,8.130587839780901,-15.593740135826344;-2.9082791046955916,0.8133818141263846,-27.025121418599905;-1.7188861764167822,2.9729450144649556,-7.9168831418200725;-0.22334747672339134,13.660447811707336,-36.426315545056106;-1.3961454237163053,0.5681727319509592,-64.97412091549748;-7.708038354744247,0.7721070674709261,-29.109351128080434;-4.9569342386481345,15.685159342815028,-43.703159500391536;-4.908049134860006,0.9255204244231996,-57.02170095096834;-2.87805150557163,-2.6765102353158188,-32.43481150596815;-23.30960695321676,17.705235364098993,-5.847501383438853;8.789852848531822,1.268979252809114,-41.298230230005004;-6.2514362740040035,5.627154649902609,-44.822363196595695;-1.094782422337781,-5.356605744186962,-26.704848405647137;
43.549357847788485,-66.75552696948107,-40.88239785624233;31.080150656688314,4.3351749104723,-10.981489321104693;-8.121798280441693,7.857835810423888,-21.613328064881983;9.039399725231217,-6.967860680045817,-5.184232721738328;4.359021052706684,8.499740677110676,-18.411167109245365;-2.898909525253442,0.808035506478343,-32.370571666404416;-1.6413660304726978,2.9596118221044865,-11.636766530449632;-0.09173044473799645,16.64506888505977,-34.918786299271545;-1.4023044506161368,0.584069936319205,-73.16137063076104;-8.558272599686791,1.359967733980159,-39.78332714244989;-4.828606840220723,17.668362480829373,-42.29797056746591;-4.979998810415937,1.050903639618367,-63.504789700932136;-2.883773548376435,-2.673007005684446,-32.52303483480012;-23.30960689663103,17.70523532108857,-5.8475013692478335;8.857326365085914,9.344592441742734,-37.808084098369186;-6.457061816959418,5.858950941810597,-51.700049927440006;-1.2028089944423546,-5.299201714214366,-29.378514923720143;
42.829635004772406,-65.94047560627668,-37.8634920175819;30.90444571976056,2.5346748463126367,-11.908699015398167;-7.481674183912597,7.530690592517748,-32.08352391850562;8.13954435336725,-6.796845084580135,-16.108877520738346;4.033038430019492,1.054790613861866,-20.50766775030704;-2.904489748982807,0.8113781927915042,-29.139774184290935;-1.6230161525416564,2.9556890411095917,-12.52392062986828;-0.30340616633451534,12.907714140114525,-26.90331692278661;-1.4009814701757215,0.5800525140079948,-71.13702554948387;-9.036707946804665,1.8138173851864257,-46.58808513777679;-4.667157332399737,20.069014226940265,-40.347032243500834;-4.971927404198866,1.0348117453064447,-62.70097566313489;-2.920642186866541,-2.6493707170754113,-33.09735615238992;-23.309606840315773,17.705235278289532,-5.847501355123826;8.878294950301006,13.063207616864062,-34.68450645712313;-6.407081705267323,5.796902365342908,-49.93224186989944;-1.2179831440869502,-5.290625745008549,-29.759399489567453;
42.056217348357734,-65.17113733112542,-34.81350836741984;30.486605106871252,-0.9822768265732087,-13.704431498641608;-8.050362452223128,7.828467761255541,-22.737046164656622;8.238955297368898,-6.824798104595543,-14.880693951433368;3.965821026009566,-1.3517709563937275,-22.906665906578397;-2.9027877110878513,0.8104003047442128,-30.115301868312088;-1.6340528091136317,2.9580858052255885,-11.989819989416512;-0.40737932495150364,10.133355689094849,-31.733611056996494;-1.3909823032637523,0.5582403046505877,-59.58970705714764;-9.002168830696018,1.7774524511024197,-46.06994414457904;-4.716403603507162,19.04266419273246,-44.2568024417517;-4.82892369671131,0.8156440710341429,-50.947686670108226;-2.620339428115863,-2.828469452035281,-28.507924012381526;-23.309606784264712,17.70523523569549,-5.847501341065483;8.729183162456058,16.407364303713972,-35.300141843637576;-6.18999916456162,5.567604799204338,-42.92386047668239;-1.0821062942277506,-5.363119484042863,-26.393002546790292;
42.875106449447195,-65.99556507121642,-38.05870208529139;30.017755804364597,-4.194728808760518,-15.322928317187369;-7.706077512853175,7.662566294913368,-28.299529040702403;8.228259658334366,-6.821941423833317,-15.01253280816904;3.8689665466027883,-3.4069439046393146,-23.79093409378512;-2.9072573432443822,0.8128609553158267,-27.59078829284683;-1.658021029060749,2.9629145804266415,-10.833350442536362;-0.5850411912152218,6.15707626400606,-32.28370277066934;-1.3892561753506887,0.5553980630426768,-57.989040978928635;-8.885843485523543,1.6590908747965876,-44.3578130329985;-4.98742708282323,15.791052876922997,-38.26797280693078;-4.7861608851910455,0.7653057134448173,-47.98560585383779;-2.855140784373689,-2.691187341976983,-32.07793556064257;-23.309606728473604,17.70523519330215,-5.847501327071891;8.54772424477798,16.7442056675851,-39.826804624119;-6.02232886440598,5.423829104859632,-38.02032512257839;-0.925933455646687,-5.434336406787712,-22.641433061717155;
