42.086325951838674,-65.19959180452696,-34.929308823308325;30.022924331128678,-4.1669674712851785,-15.309286303084463;-7.169404228884592,7.311524880832184,-37.625461022235086;6.324748207432363,-5.8049357662696295,-40.83217604414683;4.706315860030624,2.055292692900704,-43.173128601525534;-2.8507972285331107,0.6746062933163636,-107.92004305775481;-0.7236718650805024,2.1157470142485346,-73.5574162617903;-0.4049753115129081,7.641683015366195,-61.70447518382576;-1.4030109787839509,0.6506699870219974,-105.58153499572836;-10.209206637184666,3.736967690709655,-69.94516558351233;-4.863680500054474,14.908208502846175,-72.77705059259787;-5.105268670608833,1.7695555640628813,-96.63455583951817;-4.747299696026533,-0.13088470165367005,-74.88051581495266;-23.309600830078125,17.705230712890625,-5.847499847412109;8.006103567883752,1.3246117358780514,-70.2302822832837;-7.00989683342677,7.523036902492499,-91.31557868194422;-2.323005794986237,-4.053916166076421,-66.65693528229082;
40.85408668869539,-64.15210968562724,-30.382525783898828;29.989463819541836,-4.3788242286448895,-15.415357846483817;-7.4529533139967175,7.511793934192838,-32.58292141718386;6.487544741975057,-5.94025145540806,-38.32531129171723;4.768187567500449,3.815518731219532,-41.802382698459624;-2.8507013474738856,0.6748668312585555,-107.78250559904245;-0.7240463087574331,2.1167139916959044,-73.5067087217928;-0.36750082410624074,8.412410413440883,-62.621355548716316;-1.4036768864354343,0.6481683842019286,-104.34377202531334;-10.184449426271506,3.6682178508771015,-69.19435184100354;-4.802820581428041,15.730875691592171,-74.50423262208528;-5.109117489425785,1.7350284862506447,-95.0858600908235;-4.738776721908715,-0.1630363183470367,-74.44426053204384;-23.309600830078125,17.705230712890625,-5.847499847412109;7.997710844168346,2.3677698428808407,-71.20185503911023;-7.010657707021015,7.475615845289853,-90.26518743316515;-2.3210293377851294,-4.058355018951532,-66.55060378799989;
34.971023602252124,-61.266387511282964,-11.893878705473375;30.22691301211942,-2.8338973412623316,-14.640216756520786;-8.251257128129872,7.906960526794909,-19.595194448031677;7.136520247116311,-6.376118394684589,-29.05222916728274;4.303439145715033,4.943283841275179,-22.516759046406065;-2.845654303338494,0.7207941890753282,-84.76802671359987;-0.7663585266305618,2.236279844169215,-67.50850797651954;-0.48609495359028115,6.9362771121251505,-47.03827537287923;-1.4044198767010037,0.592559268912296,-77.36771744182207;-9.842274479340555,2.9281146317956273,-60.793433701566464;-5.0738526142483105,12.969349850078997,-53.7014940107307;-5.096668546681836,1.4161700666348045,-80.75002602341038;-4.545319394590688,-0.7098723589736138,-66.81576301764804;-23.309600830078125,17.705230712890625,-5.847499847412109;8.504321416125439,4.220027209136444,-49.871406808669505;-6.986983704099201,7.116700990069209,-82.2977412185165;-2.292239861753247,-4.122181857617768,-65.01959192870505;
26.672330794243003,-61.13334217431368,10.24177085878836;30.191757580593563,-3.060711441906097,-14.753915142313136;-9.08246890294714,8.106590379940183,-7.098097899166813;7.851149274083868,-6.698884710632049,-19.73074733203187;3.586259298302021,2.2576746165909576,-3.8254219697667615;-2.885064807923365,0.7966129733748356,-41.313261055309226;-1.0760239420048947,2.670299469913991,-42.060377686088856;-0.6556862314179854,6.5263761038917805,-15.055177658953149;-1.3181309729440387,0.5034519586869226,-14.603476114107487;-6.8883851458699175,0.40038803587098326,-19.824672215387704;-5.3527069976331045,14.323848573631961,-5.466362386504294;-4.17518436369333,0.3893906578905677,-15.343708073055936;-2.473266263453043,-2.901818158897151,-26.35274098020494;-23.309600830078125,17.705230712890625,-5.847499847412109;10.584130773471372,14.677437883980161,4.5111295195655075;-5.609991946181664,5.164911052439885,-27.186851034465093;-1.2809293928237742,-5.251888605046244,-31.37581040128473;
30.54659219096543,-60.7253048990786,0.15566234433204507;31.22962924660828,6.122088097302652,-10.05700791170736;-9.21328045005482,8.12071901855977,-5.175642087773436;10.209857577313677,-6.929645182661778,8.840705304075453;3.4593421329879055,3.7297753383917582,2.805325809551835;-2.9382323317593193,0.8238040785962939,-11.264067868316388;-1.5177599880957127,2.927236035677116,-17.68188645707391;-0.6984484748933903,6.682641796124106,-5.782373688464439;-1.2931549671610558,0.49939060505899713,-2.3874851698647603;-5.960441575711683,0.14658395950203684,-9.907211965725793;-5.430417455730178,13.0343140812889,-6.073423065005386;-3.939541788308285,0.34567909023013044,-4.545466734869187;-1.6579288110710801,-3.212113012413688,-14.889493125024526;-23.309600830078125,17.705230712890625,-5.847499847412109;10.782778894285865,12.95620715422953,7.352899643585872;-4.636023118806525,4.881627110519538,-4.500027623225009;-0.5847823441494098,-5.549940536732135,-14.762570239102665;
31.63381168128684,-60.75280805982153,-2.726730743201829;31.032291061194734,3.817555563436562,-11.248501961104022;-9.165959521272667,8.116214562279573,-5.8701119562096125;10.67137765070753,-6.833322130240591,14.488446496491058;3.4916336608902117,3.749834127357266,1.800441805906095;-2.947323772812319,0.825240501873672,-6.693798696567306;-1.6322210457803599,2.957680227994312,-12.080704549650424;-0.6622088418281057,7.780981390605263,-3.329990832731724;-1.2877043308929421,0.49933967142186986,0.20625188534248196;-5.694564291381914,0.10715965097838431,-7.147129876366307;-5.375555507671859,14.118848639191334,-4.375232202899603;-3.8644506147946203,0.3424265260090713,-1.184149565645889;-1.3471512927368963,-3.282354011293213,-10.714585385517484;-23.309600830078125,17.705230712890625,-5.847499847412109;10.751651175954379,14.13997249188855,7.573519407773709;-4.377314512770838,4.8745808474603525,1.2375744465849507;-0.3327064714858402,-5.603202278170258,-9.131693637612408;
31.221228892576548,-60.73431737075417,-1.6281488558775283;31.12521866069059,4.842756326382533,-10.71926405338857;-9.099232480001206,8.108721905054624,-6.851347488337737;11.030612838934971,-6.723455072385417,18.98985247007931;3.579521385065981,3.327620960270922,-1.7408200070778026;-2.9500700889513736,0.8255207417092624,-5.3561042859664525;-1.7070552126086664,2.971267543153674,-8.48197483374653;-0.655484924783139,7.6432250548662495,-5.710372138404139;-1.290385039505283,0.49937325590138,-1.0836793813979;-5.543993559830744,0.09040889101986416,-5.591255908160949;-5.3575044774304645,14.091291432530165,-6.664975186924835;-3.8621327642517107,0.3425132585128319,-1.086265970961911;-1.2342691872403229,-3.302114771639621,-9.212916714826449;-23.309600830078125,17.705230712890625,-5.847499847412109;10.730873155191443,12.014541524382224,5.627382881746797;-4.3729768180185005,4.874780060881844,1.3326807360914614;-0.27947976716401357,-5.61118006264958,-7.956485358396385;
30.698690452961124,-60.724659136510226,-0.24510764211768077;30.9951757607108,3.43136244469068,-11.447549946646825;-8.957642581159584,8.088718982587523,-8.940511008884297;10.887169302046393,-6.770708492170154,17.178254258929712;3.5875095927635376,3.090136281527455,-2.4029320255954367;-2.949846403160298,0.8255148116451155,-5.449720902262726;-1.7611039457503357,2.9780936688020505,-5.903891451757342;-0.6424010525032403,7.932685295324422,-5.706854877077031;-1.2914230828150568,0.49935257873698613,-1.5687362854784652;-5.348193973831999,0.0741637398007331,-3.5713210677945533;-5.353781667517472,14.279055561414328,-5.676295465171286;-3.8816127006014316,0.34258427700270944,-1.947744725193644;-1.1386503273707629,-3.316850988933423,-7.943867608573932;-23.309600830078125,17.705230712890625,-5.847499847412109;10.689388125519642,11.314520957357466,4.333006495416974;-4.377390352882031,4.874334089381236,1.2372817808042669;-0.20836206053844009,-5.6201915057419845,-6.389976288631175;
30.77238601577127,-60.725044521896876,-0.4395600632818404;30.946712589634764,2.9450886990620253,-11.697747368802803;-8.964361282250556,8.089841804719276,-8.84109925018243;11.00832952183962,-6.730997494225662,18.706906377396972;3.61988138702905,3.675172047270033,-2.431144585287754;-2.9468224016916222,0.8251785076871003,-6.95782348363025;-1.7940663221887916,2.981048124548603,-4.339349208159771;-0.6131730501949761,8.514913550237196,-6.229899938748218;-1.2939259980009263,0.49947318063678603,-2.7895544171423765;-5.224106461326827,0.0680425081032694,-2.297067404107274;-5.292647884919493,15.158940023205163,-6.0206515210009215;-3.912423610864209,0.34425218885772946,-3.3380397983487313;-1.0987477082446302,-3.3220556539418866,-7.417497585545608;-23.309600830078125,17.705230712890625,-5.847499847412109;10.65476039940457,11.561311794869251,3.7552676948003025;-4.382447515217786,4.874424268227287,1.1234016358804482;-0.176424033357783,-5.623553690660297,-5.687640894740117;
31.39575372443787,-60.74097023747286,-2.0921034005419976;30.825258368932396,1.800249228847246,-12.285446736016269;-9.045761431706591,8.101806553772722,-7.638731870899784;11.117319242131796,-6.692053876247304,20.094380140429955;3.6591677702384837,3.3993191982945867,-4.163201529855062;-2.944635787944149,0.8248838913961168,-8.043113335865868;-1.8193903091600938,2.982701348092249,-3.1385429942012912;-0.6037570289388031,8.652651516314954,-6.818260213434579;-1.296020534301449,0.49961344629951243,-3.792882716731988;-5.186777709831566,0.06684518566486908,-1.913961170684125;-5.229999900953562,16.043817016586594,-6.361489173062736;-3.921405286588419,0.3450235761775309,-3.7501354830012374;-1.0436395877937363,-3.3287656994474744,-6.690571756979814;-23.309600830078125,17.705230712890625,-5.847499847412109;10.720167235607908,11.73943212572722,5.229001543267955;-4.38758298914954,4.874514897568829,1.0084844923619762;-0.14171555015551318,-5.626747988937466,-4.926318430961814;
